id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1211659107012268032,1211643846615949312,1577717017000,2019-12-30,21:43:37,SE Asia Standard Time,1083249134239285248,rafliseptiannn_,rafli,,Udah pada nonton Habibie dan Ainun 3 belum?,['ngereemdonk'],[],[],1,0,0,[],[],https://twitter.com/rafliseptiannn_/status/1211659107012268032,False,,0,,,,,,,"[{'user_id': '1083249134239285248', 'username': 'rafliseptiannn_'}, {'user_id': '1133298060539310080', 'username': 'ngereemdonk'}]",,,,
1211658395658309634,1211658395658309634,1577716847000,2019-12-30,21:40:47,SE Asia Standard Time,110601833,qzha_ren96,R  E  I  N ☔,,"setelah nonton Habibie Ainun 3 jadi semakin berpikir, jika ingin mendapatkan lelaki setia paket komplit seperti pak B.J Habibie, haruslah cerdas, pemberani dan cantik seperti bu Ainun.. kalo gak ya paling dapatnya B.J Salak 🤣 gimana chol? @jefrinichol",['jefrinichol'],[],[],0,0,0,[],[],https://twitter.com/Qzha_ren96/status/1211658395658309634,False,,0,,,,,,,"[{'user_id': '110601833', 'username': 'Qzha_ren96'}, {'user_id': '1076407478', 'username': 'jefrinichol'}]",,,,
1211655959392575490,1211655959392575490,1577716266000,2019-12-30,21:31:06,SE Asia Standard Time,410671002,liaargina,Lii☀️,,"I think Indonesia should make a movie like Habibie dan Ainun 3.
Why?
Because the movies make a people learn a lot. 
After I watched that movie ""Should I being Ainun who stand with her dreams""",[],[],[],1,0,0,[],[],https://twitter.com/Liaargina/status/1211655959392575490,False,,0,,,,,,,"[{'user_id': '410671002', 'username': 'Liaargina'}]",,,,
1211651362754158592,1211651362754158592,1577715170000,2019-12-30,21:12:50,SE Asia Standard Time,2456505108,widarasekar,Widara Sekar Bening,,"Bahkan sesuatu yang indah dan dramatis belum tentu satu frekuensi
- Habibie & Ainun 3 -",[],[],[],0,0,1,[],[],https://twitter.com/widarasekar/status/1211651362754158592,False,,0,,,,,,,"[{'user_id': '2456505108', 'username': 'widarasekar'}]",,,,
1211648497071480832,1211542854117412864,1577714487000,2019-12-30,21:01:27,SE Asia Standard Time,497733530,liabukanyulia,𝕃𝕀𝔸𝕓𝕦𝕜𝕒𝕟𝕐𝕌𝕃𝕀𝔸,,"1. The avengers : end game
2. Perburuan
3. Perempuan tanah jahanam
4. Dua garis biru
5. Habibie dan ainun 3
#Top5Film2019",['pejuangkuis_'],[],[],0,0,0,['#top5film2019'],[],https://twitter.com/LIAbukanYULIA/status/1211648497071480832,False,,0,,,,,,,"[{'user_id': '497733530', 'username': 'LIAbukanYULIA'}, {'user_id': '1151328532603162624', 'username': 'pejuangkuis_'}]",,,,
1211645819205480451,1211645819205480451,1577713849000,2019-12-30,20:50:49,SE Asia Standard Time,360648563,asriwahyuu_,Asri Wahyu Artani,,"Sesuatu yang indah dan dramatis belum tentu satu frekuensi. 

- Habibie & Ainun 3 -",[],[],[],0,0,3,[],[],https://twitter.com/asriwahyuu_/status/1211645819205480451,False,,0,,,,,,,"[{'user_id': '360648563', 'username': 'asriwahyuu_'}]",,,,
1211644855320899587,1211644855320899587,1577713619000,2019-12-30,20:46:59,SE Asia Standard Time,1093770248484835329,curiodust,luna.,,"Habibie & Ainun 3.

Tu film hampir bikin gue netes.
""Kita di buku yg sama, tp halaman yg berbeda.""

Saling membahagiakan, tp ngga satu frekuensi dan beda visi. Akhirnya berpisah.
Ya, kisah cinta Ahmad dan Ainun.",[],[],[],1,0,0,[],[],https://twitter.com/curiodust/status/1211644855320899587,False,,0,,,,,,,"[{'user_id': '1093770248484835329', 'username': 'curiodust'}]",,,,
1211644095250100225,1211644095250100225,1577713438000,2019-12-30,20:43:58,SE Asia Standard Time,1274067788,cobapelukdulu,Son Yee Neul,,"Dari film habibie ainun 3 gua belajar kalo cewek itu ga cukup punya cowok yang sweet, tapi cowok yg satu visi dan mendukung semua prinsip hidup yg ada pd diri ceweknya serta menghargai segala keputusanya. 9.5/10 ✨",[],[],[],1,0,0,[],[],https://twitter.com/cobapelukdulu/status/1211644095250100225,False,,0,,,,,,,"[{'user_id': '1274067788', 'username': 'cobapelukdulu'}]",,,,
1211635803945721858,1211635803945721858,1577711461000,2019-12-30,20:11:01,SE Asia Standard Time,3261344052,itsbibleee_,dora,,"Kemaren jg waktu nonton Habibie dan Ainun 3, tiba tiba Tae muncul di layar gt. Langsung nahan teriak aja gue ya tuhan😭 Sumpah aku heboh sendiri liat Taehyung di iklan..  https://twitter.com/chimbaepsae/status/1211633414094221312 …",[],['https://twitter.com/chimbaepsae/status/1211633414094221312'],[],0,0,0,[],[],https://twitter.com/itsbibleee_/status/1211635803945721858,False,https://twitter.com/chimbaepsae/status/1211633414094221312,0,,,,,,,"[{'user_id': '3261344052', 'username': 'itsbibleee_'}]",,,,
1211625382631243777,1211625382631243777,1577708976000,2019-12-30,19:29:36,SE Asia Standard Time,903547795595943936,9197ljj,🍟,,"Setelah nonton habibie-ainun 3 aku kemudian berpikir bahwa Tuhan memang menjadikan mereka jodoh sehidup dan semati. Selamat jalan eyang, nangis aku tadi tuh 😭😭",[],[],[],0,0,0,[],[],https://twitter.com/9197ljj/status/1211625382631243777,False,,0,,,,,,,"[{'user_id': '903547795595943936', 'username': '9197ljj'}]",,,,
1211624218158235649,1211624218158235649,1577708699000,2019-12-30,19:24:59,SE Asia Standard Time,1169182715289038849,bubblebmax,AquaMint 💎,,"Setelah nonton habibie dan ainun 3, aku berfikir apakah @FiersaBesari itu ada saudaraan sama bu besari??",['fiersabesari'],[],[],0,0,0,[],[],https://twitter.com/BubbleBMax/status/1211624218158235649,False,,0,,,,,,,"[{'user_id': '1169182715289038849', 'username': 'BubbleBMax'}, {'user_id': '1422951168', 'username': 'FiersaBesari'}]",,,,
